frame,timestamp,track_id,class_id,class_name,confidence,bbox_x1,bbox_y1,bbox_x2,bbox_y2,center_x,center_y,velocity_x,velocity_y,speed,acceleration_y
37,1.233,1,0,person,0.827,582.5,201.3,745.4,632.5,663.9,416.9,4.48,-1.35,4.68,-0.05
37,1.233,4,0,person,0.734,372.4,278.1,577.2,646.5,474.8,462.3,-0.4,-0.91,0.99,-0.27
37,1.233,2,0,person,0.605,640.8,124.3,843.0,367.0,741.9,245.6,4.88,-4.87,6.89,-4.73
37,1.233,22,56,chair,0.344,290.1,448.2,482.9,654.8,386.5,551.5,1.98,-1.48,2.47,-1.16
37,1.233,32,0,person,0.381,415.0,140.9,559.7,383.0,487.4,261.9,17.24,-1.73,17.33,-1.38
38,1.267,1,0,person,0.837,587.9,198.5,750.2,627.7,669.1,413.1,5.13,-3.82,6.39,-2.47
38,1.267,4,0,person,0.729,372.5,279.8,576.8,646.4,474.7,463.1,-0.15,0.8,0.82,1.71
38,1.267,2,0,person,0.636,647.1,120.6,846.9,359.4,747.0,240.0,5.13,-5.64,7.63,-0.77
38,1.267,22,56,chair,0.31,290.5,447.4,481.9,654.7,386.2,551.1,-0.3,-0.45,0.54,1.02
38,1.267,32,0,person,0.501,423.2,137.9,570.0,382.2,496.6,260.0,9.22,-1.89,9.41,-0.16
39,1.3,1,0,person,0.791,590.7,194.8,754.0,626.8,672.4,410.8,3.28,-2.28,4.0,1.54
39,1.3,4,0,person,0.427,371.3,282.0,573.7,644.3,472.5,463.2,-2.14,0.05,2.14,-0.75
39,1.3,2,0,person,0.525,648.7,116.1,848.9,354.2,748.8,235.1,1.77,-4.87,5.18,0.77
39,1.3,22,56,chair,0.336,289.6,445.6,479.2,653.6,384.4,549.6,-1.8,-1.49,2.34,-1.03
39,1.3,32,0,person,0.402,429.3,133.4,576.0,374.0,502.7,253.7,6.07,-6.3,8.75,-4.41
40,1.333,1,0,person,0.742,594.6,192.6,757.7,625.5,676.1,409.0,3.76,-1.79,4.16,0.49
40,1.333,4,0,person,0.681,371.7,279.5,577.0,646.5,474.3,463.0,1.83,-0.14,1.84,-0.2
40,1.333,2,0,person,0.586,651.3,111.0,851.7,348.3,751.5,229.7,2.72,-5.47,6.11,-0.6
40,1.333,22,56,chair,0.322,290.0,446.0,476.5,653.2,383.2,549.6,-1.14,0.01,1.14,1.5
41,1.367,1,0,person,0.738,596.8,190.6,760.2,624.6,678.5,407.6,2.4,-1.39,2.77,0.4
41,1.367,4,0,person,0.699,367.3,279.8,573.4,649.0,470.3,464.4,-3.99,1.42,4.24,1.56
